20110228GSC2038.0293_2-187R.fit    17    2011    2         28        22        57        53.0      40.0      
 1219268823662931840      641.924      391.550           240.70020197785           +25.34382258643    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408      128.146     1894.623           240.80560512693           +25.20283748340    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152      847.075     1934.446           240.72477853756           +25.17845620542    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456     1706.408     1812.440           240.62288194114           +25.16680238815    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832     1593.567      397.058           240.59161467771           +25.31631607682    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848     1737.389      140.559           240.56716352578           +25.33877498731    13.2418      2.901      1.175         2.1471         -12.54
 1219263978939807232      480.164     1486.789           240.75275609624           +25.23509088002    13.1832     -1.267     -13.310         2.5376         -19.25
 1219261951715181696     1588.051     1928.264           240.64000739922           +25.15817347665    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264     1425.039      885.467           240.62610880126           +25.27059645439    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944      280.967      875.180           240.75650606545           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720     1727.594      143.138           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016      106.937      262.054           240.75734756238           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704      367.789      866.896           240.74632512815           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352     1027.017      494.478           240.65938003590           +25.32227196486    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768      355.901       83.852           240.72337037962           +25.38370017829    15.4733     -25.243      5.647         1.7637           0.00
 1219262089154135424     1352.905     1741.734           240.66103305102           +25.18414411618    15.9929      1.519     -8.333         0.1069           0.00
 1219262398391843200      999.187     1750.880           240.70158115827           +25.19304203280    16.2212      4.565     -3.769         1.0452           0.00
20110228GSC2038.0293_2-186R.fit    17    2011    2         28        22        57        2.0       40.0      
 1219268823662931840      643.198      390.031           240.70020197795           +25.34382258645    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408      129.287     1893.419           240.80560512693           +25.20283748341    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152      848.292     1933.184           240.72477853756           +25.17845620543    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456     1707.731     1811.060           240.62288194115           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832     1594.875      395.635           240.59161467773           +25.31631607682    12.7308     -41.651     -12.381         2.6172         -58.14
 1219263978939807232      481.417     1485.513           240.75275609624           +25.23509088003    13.1832     -1.267     -13.310         2.5376         -19.25
 1219268136468174848     1738.719      138.937           240.56716352578           +25.33877498731    13.2418      2.901      1.175         2.1471         -12.54
 1219261951715181696     1589.267     1926.959           240.64000739922           +25.15817347666    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264     1426.399      884.059           240.62610880126           +25.27059645440    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944      282.155      873.769           240.75650606546           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
